as_of,symbol,sec_type,underlying,expiry,right,strike,quantity,avg_cost,market_price,market_value,unrealized_pnl,realized_pnl,delta,gamma,theta,vega,iv,spx_delta,underlying_price,greeks_source,bid,ask,mid,spread,bid_ask_source,bid_ask_available
2026-03-08T21:49:57.602175+00:00,E2AH6 P6695,FOP,ES,2026-03-09,P,6695.0,1.0,1826.42,34.92336655,1746.17,-80.25,0.0,-17.015886950412014,0.13258796045069215,-386.95272593870413,111.74156865017721,0.22730543445341242,-17.015886950412014,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EWH6 P6100,FOP,ES,2026-03-31,P,6100.0,1.0,1551.42,38.4767914,1923.84,372.42,0.0,-5.767639105036312,0.015120163527908206,-89.82768903241549,175.92672962298366,0.3605087604602979,-5.767639105036312,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,X3AH6 C6750,FOP,MES,2026-03-16,C,6750.0,-1.0,517.03,95.44641875,-477.23,39.8,0.0,-2.524600535825268,-0.007605303660594226,33.12765148634071,-22.209467390516693,0.2264546430585277,-2.524600535825268,6742.14990234375,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E2AH6 C6985,FOP,ES,2026-03-09,C,6985.0,4.0,159.545,0.0745751,14.92,-623.26,0.0,0.9992100465749282,0.03233512874056008,-25.922491971477246,21.870825364831603,0.14404208637593402,0.9992100465749282,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EWH6 P6800,FOP,ES,2026-03-31,P,6800.0,-1.0,4423.58,165.9223633,-8296.12,-3872.54,0.0,24.32762972939422,-0.04901369006649521,15.466513138426308,-353.5887758816216,0.22768998855653413,24.32762972939422,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EXH6 C7125,FOP,MES,2026-03-31,C,7125.0,-1.0,267.34,15.36507415,-76.83,190.51,0.0,-0.5705774385373548,-0.0036972797756067892,5.3880772548882305,-17.989166713564373,0.15281268754573626,-0.5705774385373548,6792.25,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EX2H6 P6760,FOP,MES,2026-03-13,P,6760.0,-1.0,229.59,102.39159395,-511.96,-282.37,0.0,2.5595358515746436,-0.008391789230329101,27.381373716559665,-18.565074869397904,0.2481369686900743,2.5595358515746436,6742.14990234375,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EXJ6 P6350,FOP,MES,2026-04-30,P,6350.0,-1.0,439.59,108.59996035,-543.0,-103.41,0.0,1.2123575481763984,-0.0021519894167330326,5.501826428584309,-41.41866733564484,0.2707232204459131,1.2123575481763984,6792.25,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E3AH6 P6370,FOP,ES,2026-03-16,P,6370.0,1.0,476.42,26.28512385,1314.26,837.84,0.0,-6.843319053335023,0.02986011931812246,-166.91149986950222,124.21360001316089,0.32475248795515793,-6.843319053335023,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,HPQ   260320C00024000,OPT,HPQ,2026-03-20,C,24.0,-1.0,53.948,0.01081455,-1.08,52.87,0.0,,,,,,,,,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EW3H6 P6575,FOP,ES,2026-03-20,P,6575.0,-1.0,3198.58,70.235054,-3511.75,-313.17,0.0,13.720338673917027,-0.04134426408056777,161.83656043828023,-222.60737827006096,0.29704951255710604,13.720338673917027,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,SPY   260320C00709000,OPT,SPY,2026-03-20,C,709.0,-1.0,572.948,0.1546774,-15.47,557.48,0.0,-2.3864487355878325,-0.3230757311221794,-0.4239907854216407,-8.93809743855694,0.13534015822174056,-2.3864487355878325,,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E2CH6 C6915,FOP,ES,2026-03-11,C,6915.0,1.0,1066.42,6.76963995,338.48,-727.94,0.0,5.944514784129658,0.07263470165910994,-160.66202171206783,81.25689078610776,0.17452291112786494,5.944514784129658,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EXJ6 C6800,FOP,MES,2026-04-30,C,6800.0,-1.0,1159.53,209.2447815,-1046.22,113.31,0.0,-2.560980911220359,-0.003567057831482333,23.209557783175114,-52.27294075152258,0.2049549181623491,-2.560980911220359,6792.25,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EXJ6 P6650,FOP,MES,2026-04-30,P,6650.0,3.0,641.66,171.75134275,2576.27,651.29,0.0,,,-30.0,-30.0,,,6788.0,live,,,,,none,False
